Usia,Jenis Kelamin,Status Perkawinan,Pendidikan Terakhir,Pekerjaan Utama,Pekerjaan,Rata-rata Pendapatan Per Bulan,Apa alasan utama Anda tidak memilih dalam Pilkada 2024?,Administrasi,Sengaja Golput,Infrastuktur,Apakah Anda mencoblos dalam pilkada-pilkada sebelumnya?,Apakah Anda akan mencoblos dalam Pilkada 5 tahun lagi?,"Menurut Anda, apakah Pilpres lebih menarik dari Pilkada?","Menurut Anda, Apakah Pileg untuk lebih menarik dari Pilkada untuk Anda",Seberapa mudah Anda mengakses TPS tempat Anda terdaftar?,Seberapa aktif Anda mengikuti berita politik lokal di kota Anda?,Dari mana Anda mendapatkan informasi paling sering tentang Pilkada 2024?,"Menurut Anda, seberapa besar pilihan Anda apabila memilih dalam Pilkada berpengaruh pada kehidupan Anda sehari-hari?",Apakah ada tekanan sosial atau politik yang memengaruhi keputusan Anda untuk tidak memilih?,"Apakah Anda merasa bahwa pelaksanaan Pemilu 2024 yang mencakup Pilpres, Pileg, dan Pilkada dalam satu tahun terlalu padat?",Apakah anda merasa kegiatan Pemilu sebelumnya dan pemberitaannya yang terus menerus menghasilkan kelelahan pada pemilihan pilkada (Electoral Fatigue)?,"Apakah Anda mengalami praktik ""vote buying"" untuk tidak memilih saat Pilkada terakhir?","Jika iya, dari mana insentif atau vote buying itu berasal?","Menurut Anda, apakah pemilih perlu diberikan insentif atau penghargaan agar ikut aktif memilih dalam pilkada?","Menurut Anda, apa yang paling penting yang bisa dilakukan agar Pilkada kembali menarik bagi masyarakat?","Pada pilkada yang akan datang, apakah ada faktor yang paling utama yang dapat membuat Anda lebih tertarik untuk memilih?","Jika harapan Anda diatas terpenuhi, apakah Anda akan memilih dalam pilkada berikutnya?"
≥ 60 tahun,Perempuan,Menikah,SD/Sederajat,Buka warung di rumah ,Buruh,< Rp. 2.500.000,Terkendala Administrasi,Tidak Memiliki Surat Pemberitahuan,,,"Ya, pernah",Ya,Tidak Tahu,Tidak Tahu,Tidak Tahu,Tidak tertarik sama sekali,Tidak mendapatkan informasi sama sekali,Tidak terlalu berpengaruh,Tidak ada tekanan sama sekali,Tidak tahu/tidak punya pendapat,Tidak tahu/tidak punya pendapat,Tidak,,Tidak Tahu,Memberikan kemudahan akses bagi pemilih yang datang ke TPS,Akses ke TPS lebih mudah dan dekat,Kecil kemungkinan
≥ 60 tahun,Laki-Laki,Menikah,SD/Sederajat,Tidak bekerja,Tidak bekerja,< Rp. 2.500.000,Terkendala Administrasi,Tidak Memiliki Surat Pemberitahuan,,,"Ya, pernah",Ya,Tidak,Tidak,Tidak Tahu,Tidak tertarik sama sekali,Tidak mendapatkan informasi sama sekali,Sama sekali tidak berpengaruh,Tidak ada tekanan sama sekali,Tidak tahu/tidak punya pendapat,Tidak tahu/tidak punya pendapat,Tidak,,Tidak Tahu,Memberikan kemudahan akses bagi pemilih yang datang ke TPS,Akses ke TPS lebih mudah dan dekat,Kecil kemungkinan
20-29 tahun,Laki-Laki,Tidak Menikah,SMA/Sederajat,Pegawai swasta,Pegawai swasta,< Rp. 2.500.000,Terkendala Akses dan Infrastruktur,,,Ada pekerjaan/kesibukan lain pada hari pemungutan suara,Tidak pernah memilih,Tidak Tahu,Ya,Ya,Sangat mudah,Jarang (hanya mendengar sesekali),"Media sosial (Facebook, Instagram, Twitter, Whatsapp, Tiktok, internet dll.)",Tidak terlalu berpengaruh,Tidak ada tekanan sama sekali,"Tidak, jadwalnya sudah tepat","Tidak merasa lelah sama sekali, tetap antusias mengikuti perkembangan Pilkada",Tidak,,Ya,Munculnya kandidat yang lebih berkualitas dan mewakili aspirasi rakyat,"Ada calon yang lebih kredibel, representatif dan dapat dipercaya",Cukup besar kemungkinan
20-29 tahun,Laki-Laki,Tidak Menikah,Sarjana (S1),Pegawai swasta,Pegawai swasta,Rp 2.500.000 – Rp 5.000.000,Terkendala Akses dan Infrastruktur,,,Ada pekerjaan/kesibukan lain pada hari pemungutan suara,"Ya, selalu",Ya,Ya,Ya,Cukup mudah,Jarang (hanya mendengar sesekali),"Media sosial (Facebook, Instagram, Twitter, Whatsapp, Tiktok, internet dll.)",Tidak terlalu berpengaruh,Tidak ada tekanan sama sekali,"Tidak, jadwalnya sudah tepat","Tidak terlalu merasa lelah, tetapi intensitasnya cukup terasa",Tidak,,Tidak,Munculnya kandidat yang lebih berkualitas dan mewakili aspirasi rakyat,Ada kebijakan/program yang menarik dari kandidat,Cukup besar kemungkinan
≥ 60 tahun,Laki-Laki,Menikah,SD/Sederajat,Wiraswasta,Wiraswasta,< Rp. 2.500.000,Terkendala Akses dan Infrastruktur,,,Ada pekerjaan/kesibukan lain pada hari pemungutan suara,"Ya, pernah",Ya,Tidak Tahu,Tidak Tahu,Cukup mudah,Jarang (hanya mendengar sesekali),Televisi,Tidak terlalu berpengaruh,Tidak ada tekanan sama sekali,"Tidak, jadwalnya sudah tepat","Tidak merasa lelah sama sekali, tetap antusias mengikuti perkembangan Pilkada",Tidak,,Ya,Munculnya kandidat yang lebih berkualitas dan mewakili aspirasi rakyat,Ada kebijakan/program yang menarik dari kandidat,Cukup besar kemungkinan
50-59 tahun,Perempuan,Menikah,SD/Sederajat,Wiraswasta,Wiraswasta,< Rp. 2.500.000,Terkendala Akses dan Infrastruktur,,,Ada pekerjaan/kesibukan lain pada hari pemungutan suara,"Ya, pernah",Ya,Tidak Tahu,Tidak Tahu,Cukup mudah,Tidak tertarik sama sekali,Televisi,Tidak terlalu berpengaruh,Tidak ada tekanan sama sekali,"Tidak, jadwalnya sudah tepat",Tidak tahu/tidak punya pendapat,Tidak,,Tidak Tahu,Munculnya kandidat yang lebih berkualitas dan mewakili aspirasi rakyat,Ada kebijakan/program yang menarik dari kandidat,Cukup besar kemungkinan
20-29 tahun,Laki-Laki,Menikah,Diploma (D1-D3),Wiraswasta,Wiraswasta,Rp 2.500.000 – Rp 5.000.000,Terkendala Akses dan Infrastruktur,,,"TPS terlalu jauh atau sulit dijangkau, Pindah Domisili","Ya, pernah",Ya,Ya,Ya,Tidak Tahu,Cukup aktif (mengikuti berita beberapa kali seminggu),"Media sosial (Facebook, Instagram, Twitter, Whatsapp, Tiktok, internet dll.)",Tidak terlalu berpengaruh,Tidak ada tekanan sama sekali,"Tidak, jadwalnya sudah tepat","Tidak merasa lelah sama sekali, tetap antusias mengikuti perkembangan Pilkada",Tidak,,Tidak,Munculnya kandidat yang lebih berkualitas dan mewakili aspirasi rakyat,"Ada calon yang lebih kredibel, representatif dan dapat dipercaya",Cukup besar kemungkinan
20-29 tahun,Perempuan,Tidak Menikah,Sarjana (S1),Pegawai swasta,Pegawai swasta,Rp 5.000.000 – Rp 10.000.000,Terkendala Akses dan Infrastruktur,,,Kesulitan mengakses informasi terkait prosedur pilkada,"Ya, selalu",Ya,Ya,Tidak,Sangat mudah,Tidak tertarik sama sekali,"Media sosial (Facebook, Instagram, Twitter, Whatsapp, Tiktok, internet dll.)",Cukup berpengaruh,"Ya, tekanan dari media sosial","Tidak, jadwalnya sudah tepat","Ya, cukup merasa lelah, tetapi masih tetap mengikuti perkembangannya",Tidak,,Tidak,Memberikan kemudahan akses bagi pemilih yang datang ke TPS,"Ada calon yang lebih kredibel, representatif dan dapat dipercaya",Sangat besar kemungkinan
20-29 tahun,Perempuan,Tidak Menikah,Sarjana (S1),Pegawai swasta,Pegawai swasta,Rp 5.000.000 – Rp 10.000.000,Terkendala Akses dan Infrastruktur,,,Penyelenggaraan di hari kerja yang tidak memungkinkan datang ke TPS karena kerja di luar kota,"Ya, pernah",Tidak Tahu,Tidak,Tidak,Sangat sulit,Tidak tertarik sama sekali,"Media sosial (Facebook, Instagram, Twitter, Whatsapp, Tiktok, internet dll.)",Tidak terlalu berpengaruh,Tidak ada tekanan sama sekali,"Tidak, jadwalnya sudah tepat","Tidak terlalu merasa lelah, tetapi intensitasnya cukup terasa",Tidak,,Tidak,Munculnya kandidat yang lebih berkualitas dan mewakili aspirasi rakyat,Penyelenggaraannya menyesuaikan jadwal dan kondisi pekerja di luar kota,Cukup besar kemungkinan
40-49 tahun,Perempuan,Menikah,SMA/Sederajat,Wiraswasta,Wiraswasta,Rp 2.500.000 – Rp 5.000.000,Terkendala Akses dan Infrastruktur,,,Ada pekerjaan/kesibukan lain pada hari pemungutan suara,"Ya, pernah",Tidak Tahu,Ya,Tidak,Cukup mudah,Cukup aktif (mengikuti berita beberapa kali seminggu),"Media sosial (Facebook, Instagram, Twitter, Whatsapp, Tiktok, internet dll.)",Tidak terlalu berpengaruh,Tidak ada tekanan sama sekali,"Ya, tetapi masih bisa diterima","Tidak merasa lelah sama sekali, tetap antusias mengikuti perkembangan Pilkada",Tidak,,Tidak,Munculnya kandidat yang lebih berkualitas dan mewakili aspirasi rakyat,Ada kebijakan/program yang menarik dari kandidat,Cukup besar kemungkinan
20-29 tahun,Laki-Laki,Tidak Menikah,Diploma (D1-D3),Pegawai swasta,Pegawai swasta,Rp 2.500.000 – Rp 5.000.000,Terkendala Akses dan Infrastruktur,,,Penyelenggaraan di hari kerja yang tidak memungkinkan datang ke TPS karena kerja di luar kota,"Ya, selalu",Tidak Tahu,Tidak,Tidak,Cukup mudah,Jarang (hanya mendengar sesekali),"Media sosial (Facebook, Instagram, Twitter, Whatsapp, Tiktok, internet dll.)",Tidak terlalu berpengaruh,Tidak ada tekanan sama sekali,Tidak tahu/tidak punya pendapat,Tidak tahu/tidak punya pendapat,Tidak,,Tidak,Memperbaiki sistem pilkada agar lebih transparan dan adil,"Ada calon yang lebih kredibel, representatif dan dapat dipercaya",Sangat besar kemungkinan
30-39 tahun,Perempuan,Tidak Menikah,Pascasarjana (S2),Pegawai swasta,Pegawai swasta,Rp 5.000.000 – Rp 10.000.000,Terkendala Akses dan Infrastruktur,,,"Penyelenggaraan di hari kerja yang tidak memungkinkan datang ke TPS karena kerja di luar kota, Pindah Domisili","Ya, selalu",Ya,Tidak,Tidak,Cukup mudah,Jarang (hanya mendengar sesekali),Diskusi dengan keluarga/teman,Tidak terlalu berpengaruh,Tidak ada tekanan sama sekali,"Ya, tetapi masih bisa diterima","Ya, sangat merasa lelah dan jenuh serta menghindari pemberitaannya",Tidak,,Tidak,"pilihan 1, 2, dan 3",Kampanye yang lebih informatif dan transparan,Cukup besar kemungkinan
≥ 60 tahun,Perempuan,Cerai Mati,SMA/Sederajat,Ibu rumah tangga,Ibu rumah tangga,< Rp. 2.500.000,Terkendala Akses dan Infrastruktur,,,Ada pekerjaan/kesibukan lain pada hari pemungutan suara,"Ya, selalu",Ya,Tidak Tahu,Tidak Tahu,Tidak Tahu,Tidak tertarik sama sekali,Radio,Sama sekali tidak berpengaruh,Tidak ada tekanan sama sekali,Tidak tahu/tidak punya pendapat,Tidak tahu/tidak punya pendapat,Tidak,,Tidak Tahu,Memberikan kemudahan akses bagi pemilih yang datang ke TPS,Akses ke TPS lebih mudah dan dekat,Cukup besar kemungkinan
40-49 tahun,Perempuan,Menikah,SMA/Sederajat,Wiraswasta,Wiraswasta,< Rp. 2.500.000,Terkendala Akses dan Infrastruktur,,,Tidak tahu atau lupa hari pencoblosan,"Ya, pernah",Ya,Tidak Tahu,Tidak Tahu,Sangat mudah,Jarang (hanya mendengar sesekali),Diskusi dengan keluarga/teman,Tidak terlalu berpengaruh,Tidak ada tekanan sama sekali,"Tidak, jadwalnya sudah tepat","Tidak merasa lelah sama sekali, tetap antusias mengikuti perkembangan Pilkada",Tidak,,Tidak,Membuat informasi pilkada lebih menarik dan mudah diakses,Ada kebijakan/program yang menarik dari kandidat,Cukup besar kemungkinan
40-49 tahun,Laki-Laki,Menikah,Diploma (D1-D3),Pegawai swasta,Pegawai swasta,Rp 2.500.000 – Rp 5.000.000,Terkendala Akses dan Infrastruktur,,,Penyelenggaraan di hari kerja yang tidak memungkinkan datang ke TPS karena kerja di luar kota,"Ya, pernah",Tidak Tahu,Ya,Tidak Tahu,Tidak Tahu,Jarang (hanya mendengar sesekali),Televisi,Tidak terlalu berpengaruh,Tidak ada tekanan sama sekali,Tidak tahu/tidak punya pendapat,Tidak tahu/tidak punya pendapat,Tidak,,Tidak,Munculnya kandidat yang lebih berkualitas dan mewakili aspirasi rakyat,"Ada calon yang lebih kredibel, representatif dan dapat dipercaya",Cukup besar kemungkinan
≥ 60 tahun,Laki-Laki,Menikah,SD/Sederajat,Tidak bekerja,Tidak bekerja,< Rp. 2.500.000,Terkendala Akses dan Infrastruktur,,,TPS tidak memiliki fasilitas untuk penyandang disabilitas atau lansia,"Ya, pernah",Tidak Tahu,Tidak,Tidak,Cukup mudah,Tidak tertarik sama sekali,Tidak mendapatkan informasi sama sekali,Tidak terlalu berpengaruh,Tidak ada tekanan sama sekali,"Tidak, jadwalnya sudah tepat",Tidak tahu/tidak punya pendapat,Tidak,,Tidak,Munculnya kandidat yang lebih berkualitas dan mewakili aspirasi rakyat,Ada kebijakan/program yang menarik dari kandidat,Ragu-ragu
40-49 tahun,Perempuan,Menikah,Diploma (D1-D3),Ibu rumah tangga,Ibu rumah tangga,Rp 2.500.000 – Rp 5.000.000,Sengaja Golput,,Tidak kenal dengan kandidat yang ada,,"Ya, pernah",Ya,Ya,Tidak,Sangat mudah,Jarang (hanya mendengar sesekali),"Media sosial (Facebook, Instagram, Twitter, Whatsapp, Tiktok, internet dll.)",Tidak terlalu berpengaruh,Tidak ada tekanan sama sekali,"Ya, terlalu padat dan membebani pemilih","Tidak terlalu merasa lelah, tetapi intensitasnya cukup terasa",Tidak,,Tidak,Membuat informasi pilkada lebih menarik dan mudah diakses,Kampanye yang lebih informatif dan transparan,Cukup besar kemungkinan
50-59 tahun,Perempuan,Menikah,SMP/Sederajat,Wiraswasta,Wiraswasta,< Rp. 2.500.000,Sengaja Golput,,Tidak kenal dengan kandidat yang ada,,"Ya, pernah",Ya,Ya,Ya,Sangat mudah,Jarang (hanya mendengar sesekali),"Media sosial (Facebook, Instagram, Twitter, Whatsapp, Tiktok, internet dll.)",Tidak terlalu berpengaruh,Tidak ada tekanan sama sekali,"Ya, terlalu padat dan membebani pemilih","Tidak terlalu merasa lelah, tetapi intensitasnya cukup terasa",Tidak,,Tidak,Munculnya kandidat yang lebih berkualitas dan mewakili aspirasi rakyat,Ada kebijakan/program yang menarik dari kandidat,Cukup besar kemungkinan
20-29 tahun,Laki-Laki,Tidak Menikah,Sarjana (S1),Pegawai swasta,Pegawai swasta,Rp 2.500.000 – Rp 5.000.000,Sengaja Golput,,Tidak kenal dengan kandidat yang ada,,Tidak pernah memilih,Ya,Ya,Tidak,Sangat mudah,Jarang (hanya mendengar sesekali),"Media sosial (Facebook, Instagram, Twitter, Whatsapp, Tiktok, internet dll.)",Tidak terlalu berpengaruh,Tidak ada tekanan sama sekali,"Ya, tetapi masih bisa diterima","Ya, cukup merasa lelah, tetapi masih tetap mengikuti perkembangannya",Tidak,,Tidak,Munculnya kandidat yang lebih berkualitas dan mewakili aspirasi rakyat,"Ada calon yang lebih kredibel, representatif dan dapat dipercaya",Cukup besar kemungkinan
20-29 tahun,Perempuan,Tidak Menikah,Sarjana (S1),Pegawai swasta,Pegawai swasta,Rp 2.500.000 – Rp 5.000.000,Sengaja Golput,,"Tidak tertarik atau jenuh terhadap politik, Tidak kenal dengan kandidat yang ada",,"Ya, pernah",Ya,Ya,Tidak Tahu,Sangat mudah,Jarang (hanya mendengar sesekali),Diskusi dengan keluarga/teman,Cukup berpengaruh,Tidak ada tekanan sama sekali,Tidak tahu/tidak punya pendapat,"Ya, sangat merasa lelah dan jenuh serta menghindari pemberitaannya",Tidak,,Tidak,Membuat informasi pilkada lebih menarik dan mudah diakses,Kampanye yang lebih informatif dan transparan,Cukup besar kemungkinan
≥ 60 tahun,Laki-Laki,Menikah,Diploma (D1-D3),Tidak bekerja,Tidak bekerja,< Rp. 2.500.000,Terkendala Akses dan Infrastruktur,,,TPS tidak memiliki fasilitas untuk penyandang disabilitas atau lansia,Tidak pernah memilih,Ya,Ya,Tidak,Sulit,Jarang (hanya mendengar sesekali),"Media sosial (Facebook, Instagram, Twitter, Whatsapp, Tiktok, internet dll.)",Cukup berpengaruh,Tidak ada tekanan sama sekali,"Tidak, jadwalnya sudah tepat","Tidak merasa lelah sama sekali, tetap antusias mengikuti perkembangan Pilkada",Tidak,,Tidak,Munculnya kandidat yang lebih berkualitas dan mewakili aspirasi rakyat,"Ada calon yang lebih kredibel, representatif dan dapat dipercaya",Sangat besar kemungkinan
40-49 tahun,Laki-Laki,Menikah,Sarjana (S1),Pegawai swasta,Pegawai swasta,Rp 5.000.000 – Rp 10.000.000,Terkendala Akses dan Infrastruktur,,,"Ada pekerjaan/kesibukan lain pada hari pemungutan suara, Penyelenggaraan di hari kerja yang tidak memungkinkan datang ke TPS karena kerja di luar kota","Ya, pernah",Tidak Tahu,Ya,Ya,Tidak Tahu,Jarang (hanya mendengar sesekali),"Media sosial (Facebook, Instagram, Twitter, Whatsapp, Tiktok, internet dll.)",Tidak terlalu berpengaruh,Tidak ada tekanan sama sekali,"Ya, tetapi masih bisa diterima","Tidak terlalu merasa lelah, tetapi intensitasnya cukup terasa",Tidak,,Tidak,Munculnya kandidat yang lebih berkualitas dan mewakili aspirasi rakyat,"Ada calon yang lebih kredibel, representatif dan dapat dipercaya",Cukup besar kemungkinan
40-49 tahun,Perempuan,Menikah,Sarjana (S1),Pegawai swasta,Pegawai swasta,Rp 2.500.000 – Rp 5.000.000,Terkendala Akses dan Infrastruktur,,,"Ada pekerjaan/kesibukan lain pada hari pemungutan suara, Penyelenggaraan di hari kerja yang tidak memungkinkan datang ke TPS karena kerja di luar kota","Ya, pernah",Tidak Tahu,Ya,Ya,Tidak Tahu,Cukup aktif (mengikuti berita beberapa kali seminggu),"Media sosial (Facebook, Instagram, Twitter, Whatsapp, Tiktok, internet dll.)",Cukup berpengaruh,Tidak ada tekanan sama sekali,"Ya, tetapi masih bisa diterima","Tidak terlalu merasa lelah, tetapi intensitasnya cukup terasa",Tidak,,Tidak,Memperbaiki sistem pilkada agar lebih transparan dan adil,Ada kebijakan/program yang menarik dari kandidat,Cukup besar kemungkinan
40-49 tahun,Perempuan,Menikah,Sarjana (S1),Pegawai swasta,Pegawai swasta,< Rp. 2.500.000,Terkendala Akses dan Infrastruktur,,,Ada pekerjaan/kesibukan lain pada hari pemungutan suara,"Ya, selalu",Ya,Ya,Tidak Tahu,Cukup mudah,Jarang (hanya mendengar sesekali),"Media sosial (Facebook, Instagram, Twitter, Whatsapp, Tiktok, internet dll.)",Cukup berpengaruh,Tidak ada tekanan sama sekali,"Tidak, jadwalnya sudah tepat","Tidak terlalu merasa lelah, tetapi intensitasnya cukup terasa",Tidak,,Tidak Tahu,Munculnya kandidat yang lebih berkualitas dan mewakili aspirasi rakyat,Ada kebijakan/program yang menarik dari kandidat,Sangat besar kemungkinan
20-29 tahun,Perempuan,Tidak Menikah,SMA/Sederajat,Pelajar/Mahasiswa,Pelajar/Mahasiswa,< Rp. 2.500.000,Terkendala Akses dan Infrastruktur,,,"Ada pekerjaan/kesibukan lain pada hari pemungutan suara, Pindah Domisili","Ya, pernah",Ya,Ya,Ya,Tidak Tahu,Jarang (hanya mendengar sesekali),"Media sosial (Facebook, Instagram, Twitter, Whatsapp, Tiktok, internet dll.)",Cukup berpengaruh,Tidak ada tekanan sama sekali,"Ya, tetapi masih bisa diterima","Tidak terlalu merasa lelah, tetapi intensitasnya cukup terasa",Tidak,,Tidak,Memperbaiki sistem pilkada agar lebih transparan dan adil,Ada kebijakan/program yang menarik dari kandidat,Cukup besar kemungkinan
20-29 tahun,Laki-Laki,Tidak Menikah,SMA/Sederajat,Pelajar/Mahasiswa,Pelajar/Mahasiswa,< Rp. 2.500.000,Terkendala Akses dan Infrastruktur,,,Ada pekerjaan/kesibukan lain pada hari pemungutan suara,"Ya, pernah",Ya,Ya,Ya,Tidak Tahu,Cukup aktif (mengikuti berita beberapa kali seminggu),"Media sosial (Facebook, Instagram, Twitter, Whatsapp, Tiktok, internet dll.)",Cukup berpengaruh,Tidak ada tekanan sama sekali,"Ya, tetapi masih bisa diterima","Tidak merasa lelah sama sekali, tetap antusias mengikuti perkembangan Pilkada",Tidak,,Tidak,Memperbaiki sistem pilkada agar lebih transparan dan adil,Ada kebijakan/program yang menarik dari kandidat,Cukup besar kemungkinan
≥ 60 tahun,Perempuan,Cerai Mati,SMA/Sederajat,Tidak bekerja,Tidak bekerja,< Rp. 2.500.000,Terkendala Akses dan Infrastruktur,,,TPS terlalu jauh atau sulit dijangkau,"Ya, pernah",Tidak Tahu,Ya,Tidak Tahu,Sulit,Tidak tertarik sama sekali,Tidak mendapatkan informasi sama sekali,Tidak terlalu berpengaruh,Tidak ada tekanan sama sekali,Tidak tahu/tidak punya pendapat,Tidak tahu/tidak punya pendapat,Tidak,,Tidak Tahu,Memberikan kemudahan akses bagi pemilih yang datang ke TPS,Akses ke TPS lebih mudah dan dekat,Ragu-ragu
50-59 tahun,Laki-Laki,Menikah,Sarjana (S1),Pegawai swasta,Pegawai swasta,Rp 2.500.000 – Rp 5.000.000,Sengaja Golput,,,Sakit,"Ya, selalu",Ya,Ya,Ya,Cukup mudah,Cukup aktif (mengikuti berita beberapa kali seminggu),Televisi,Cukup berpengaruh,Tidak ada tekanan sama sekali,"Ya, tetapi masih bisa diterima","Tidak terlalu merasa lelah, tetapi intensitasnya cukup terasa",Tidak,,Tidak,Munculnya kandidat yang lebih berkualitas dan mewakili aspirasi rakyat,"Ada calon yang lebih kredibel, representatif dan dapat dipercaya",Cukup besar kemungkinan
20-29 tahun,Perempuan,Tidak Menikah,Sarjana (S1),Pegawai swasta,Pegawai swasta,Rp 2.500.000 – Rp 5.000.000,Terkendala Akses dan Infrastruktur,,,Ada pekerjaan/kesibukan lain pada hari pemungutan suara,"Ya, pernah",Ya,Ya,Tidak,Cukup mudah,Jarang (hanya mendengar sesekali),"Media sosial (Facebook, Instagram, Twitter, Whatsapp, Tiktok, internet dll.)",Sama sekali tidak berpengaruh,Tidak ada tekanan sama sekali,"Ya, tetapi masih bisa diterima","Tidak terlalu merasa lelah, tetapi intensitasnya cukup terasa",Tidak,,Tidak,Memperbaiki sistem pilkada agar lebih transparan dan adil,Penyelenggaraannya menyesuaikan jadwal dan kondisi pekerja di luar kota,Cukup besar kemungkinan
< 20 tahun,Laki-Laki,Tidak Menikah,SMA/Sederajat,Pelajar/Mahasiswa,Pelajar/Mahasiswa,< Rp. 2.500.000,Terkendala Akses dan Infrastruktur,,,Ada pekerjaan/kesibukan lain pada hari pemungutan suara,Tidak pernah memilih,Ya,Ya,Tidak Tahu,Cukup mudah,Jarang (hanya mendengar sesekali),"Media sosial (Facebook, Instagram, Twitter, Whatsapp, Tiktok, internet dll.)",Cukup berpengaruh,Tidak ada tekanan sama sekali,"Tidak, jadwalnya sudah tepat","Tidak terlalu merasa lelah, tetapi intensitasnya cukup terasa",Tidak,,Ya,Munculnya kandidat yang lebih berkualitas dan mewakili aspirasi rakyat,Ada kebijakan/program yang menarik dari kandidat,Sangat besar kemungkinan
40-49 tahun,Perempuan,Cerai Hidup,SMP/Sederajat,Ibu rumah tangga,Ibu rumah tangga,< Rp. 2.500.000,Sengaja Golput,,Tidak tertarik atau jenuh terhadap politik,,"Ya, selalu",Tidak Tahu,Ya,Tidak Tahu,Cukup mudah,Cukup aktif (mengikuti berita beberapa kali seminggu),"Media sosial (Facebook, Instagram, Twitter, Whatsapp, Tiktok, internet dll.)",Tidak terlalu berpengaruh,Tidak ada tekanan sama sekali,"Tidak, jadwalnya sudah tepat","Ya, sangat merasa lelah dan jenuh serta menghindari pemberitaannya",Tidak,,Tidak,Membuat informasi pilkada lebih menarik dan mudah diakses,"Ada calon yang lebih kredibel, representatif dan dapat dipercaya",Cukup besar kemungkinan
30-39 tahun,Laki-Laki,Menikah,SMA/Sederajat,Pegawai swasta,Pegawai swasta,Rp 2.500.000 – Rp 5.000.000,Sengaja Golput,,Tidak percaya bahwa pilkada akan membawa perubahan,,"Ya, pernah",Tidak Tahu,Ya,Tidak Tahu,Cukup mudah,Sangat aktif (mengikuti berita setiap hari),"Media sosial (Facebook, Instagram, Twitter, Whatsapp, Tiktok, internet dll.)",Sama sekali tidak berpengaruh,Tidak ada tekanan sama sekali,Tidak tahu/tidak punya pendapat,"Ya, sangat merasa lelah dan jenuh serta menghindari pemberitaannya",Tidak,,Tidak Tahu,Mengurangi periode waktu kampanye yang terlalu padat dan melelahkan,Tidak ada yang bisa membuat saya tertarik memilih,Kecil kemungkinan
40-49 tahun,Laki-Laki,Menikah,SMA/Sederajat,Wiraswasta,Wiraswasta,< Rp. 2.500.000,Terkendala Akses dan Infrastruktur,,,Ada pekerjaan/kesibukan lain pada hari pemungutan suara,"Ya, pernah",Tidak Tahu,Ya,Tidak Tahu,Sulit,Jarang (hanya mendengar sesekali),Televisi,Tidak terlalu berpengaruh,Tidak ada tekanan sama sekali,"Ya, tetapi masih bisa diterima",Tidak tahu/tidak punya pendapat,Tidak,,Tidak Tahu,Munculnya kandidat yang lebih berkualitas dan mewakili aspirasi rakyat,Akses ke TPS lebih mudah dan dekat,Cukup besar kemungkinan
50-59 tahun,Laki-Laki,Menikah,Sarjana (S1),Pegawai swasta,Pegawai swasta,Rp 5.000.000 – Rp 10.000.000,Terkendala Akses dan Infrastruktur,,,Pindah Domisili,"Ya, pernah",Tidak Tahu,Ya,Ya,Tidak Tahu,Cukup aktif (mengikuti berita beberapa kali seminggu),"Media sosial (Facebook, Instagram, Twitter, Whatsapp, Tiktok, internet dll.)",Cukup berpengaruh,Tidak ada tekanan sama sekali,"Ya, tetapi masih bisa diterima","Ya, cukup merasa lelah, tetapi masih tetap mengikuti perkembangannya",Tidak,,Tidak,Munculnya kandidat yang lebih berkualitas dan mewakili aspirasi rakyat,Ada kebijakan/program yang menarik dari kandidat,Cukup besar kemungkinan
40-49 tahun,Perempuan,Menikah,Sarjana (S1),Pegawai swasta,Pegawai swasta,Rp 5.000.000 – Rp 10.000.000,Terkendala Akses dan Infrastruktur,,,Pindah Domisili,"Ya, pernah",Tidak Tahu,Ya,Ya,Tidak Tahu,Cukup aktif (mengikuti berita beberapa kali seminggu),"Media sosial (Facebook, Instagram, Twitter, Whatsapp, Tiktok, internet dll.)",Cukup berpengaruh,Tidak ada tekanan sama sekali,"Ya, tetapi masih bisa diterima","Tidak terlalu merasa lelah, tetapi intensitasnya cukup terasa",Tidak,,Tidak,Munculnya kandidat yang lebih berkualitas dan mewakili aspirasi rakyat,Ada kebijakan/program yang menarik dari kandidat,Cukup besar kemungkinan
≥ 60 tahun,Perempuan,Cerai Mati,SMP/Sederajat,Tidak bekerja,Tidak bekerja,< Rp. 2.500.000,Terkendala Akses dan Infrastruktur,,,Sakit,"Ya, selalu",Tidak Tahu,Ya,Ya,Sulit,Tidak tertarik sama sekali,Tidak mendapatkan informasi sama sekali,Tidak terlalu berpengaruh,Tidak ada tekanan sama sekali,Tidak tahu/tidak punya pendapat,Tidak tahu/tidak punya pendapat,Tidak,,Tidak Tahu,Munculnya kandidat yang lebih berkualitas dan mewakili aspirasi rakyat,Akses ke TPS lebih mudah dan dekat,Cukup besar kemungkinan
